"","GPUs","CUDAKernels","TestDuration","predictions","acc","mape"
"310","Tesla-K40","BCK-K1",2.5344e-05,2.4846281325018e-05,0.980361479049006,4.78412914681816
"571","Tesla-K40","BCK-K1",0.000146209,0.000154870005179296,1.05923715488989,4.78412914681816
"451","Tesla-K40","BCK-K1",0.000120096,0.000116450096860471,0.969641760428916,4.78412914681816
"331","Tesla-K40","BCK-K1",9.2992e-05,8.96634731184612e-05,0.964206309343397,4.78412914681816
"221","Tesla-K40","BCK-K1",6.7776e-05,6.68342449482821e-05,0.986104888873378,4.78412914681816
"91","Tesla-K40","BCK-K1",3.7024e-05,3.84274364397897e-05,1.03790612683097,4.78412914681816
"391","Tesla-K40","BCK-K1",0.000106496,9.73738875893632e-05,0.914343145182572,4.78412914681816
"181","Tesla-K40","BCK-K1",6.0096e-05,5.40228709346713e-05,0.898942873646687,4.78412914681816
"471","Tesla-K40","BCK-K1",0.000123936,0.000117834120456088,0.950765882843471,4.78412914681816
"58","Tesla-K40","BCK-K1",2.928e-05,2.94443116908832e-05,1.00561173807661,4.78412914681816
"491","Tesla-K40","BCK-K1",0.00012848,0.000122388111251509,0.952584925681112,4.78412914681816
"541","Tesla-K40","BCK-K1",0.000139936,0.000130638686510069,0.93356024546985,4.78412914681816
"251","Tesla-K40","BCK-K1",7.424e-05,6.96558373255311e-05,0.938252119147779,4.78412914681816
"271","Tesla-K40","BCK-K1",8.0288e-05,7.63750038846788e-05,0.951263001752177,4.78412914681816
"411","Tesla-K40","BCK-K1",0.00011072,0.000106475401334925,0.961663668126128,4.78412914681816
"231","Tesla-K40","BCK-K1",7.1424e-05,6.72765797929482e-05,0.941932400774924,4.78412914681816
"201","Tesla-K40","BCK-K1",6.4448e-05,6.36958439311403e-05,0.988329256627674,4.78412914681816
"131","Tesla-K40","BCK-K1",4.6272e-05,4.56050824773171e-05,0.985587017576874,4.78412914681816
"531","Tesla-K40","BCK-K1",0.000137792,0.000129819423756232,0.942140499856535,4.78412914681816
"301","Tesla-K40","BCK-K1",8.6688e-05,8.11048534644379e-05,0.935594931991024,4.78412914681816
"171","Tesla-K40","BCK-K1",5.7888e-05,5.43156285474976e-05,0.938288221177059,4.78412914681816
"211","Tesla-K40","BCK-K1",6.608e-05,6.57706385055024e-05,0.995318379320557,4.78412914681816
"410","Tesla-K40","BCK-K1",2.7456e-05,2.73678645995398e-05,0.996789940251302,4.78412914681816
"521","Tesla-K40","BCK-K1",0.000135168,0.000125653989841136,0.929613442835106,4.78412914681816
"141","Tesla-K40","BCK-K1",4.9248e-05,4.81990951661478e-05,0.978701575011123,4.78412914681816
"191","Tesla-K40","BCK-K1",6.2848e-05,5.91827353283734e-05,0.941680488295147,4.78412914681816
"291","Tesla-K40","BCK-K1",8.4032e-05,8.06988667699918e-05,0.960334952994,4.78412914681816
"401","Tesla-K40","BCK-K1",0.000108448,0.000101546856080672,0.936364488793446,4.78412914681816
"241","Tesla-K40","BCK-K1",7.3608e-05,6.85337674782782e-05,0.931064116376999,4.78412914681816
