gpu_name,application_name,Input Size,num_of_cores,max_clock_rate,l1_cache_used,threads_number,l1_global_load_hit,l1_global_load_miss,Global Load Transactions,Global Store Transactions,L1 Global Hit Rate,L2 Hit Rate (L1 Reads),Shared Load Transactions,Shared Store Transactions,Duration
GTX-680,matMul_gpu,512,1536,1058,0,262144,0,0,16384,0,0,100,0,12582912,0.004482986
GTX-680,matMul_gpu,768,1536,1058,0,589824,0,0,36864,0,0,100,0,42467328,0.015069
GTX-680,matMul_gpu,1024,1536,1058,0,1048576,0,0,65536,0,0,100,0,100663296,0.035724
GTX-680,matMul_gpu,1280,1536,1058,0,1638400,0,0,102400,0,0,100,0,196608000,0.06966
GTX-680,matMul_gpu,1536,1536,1058,0,2359296,0,0,147456,0,0,100,0,339738624,0.120087
GTX-680,matMul_gpu,1792,1536,1058,0,3211264,0,0,200704,0,0,100,0,539492352,0.19122
GTX-680,matMul_gpu,2048,1536,1058,0,4194304,0,0,262144,0,0,100,0,805306368,0.283139
GTX-680,matMul_gpu_sharedmem_uncoalesced,256,1536,1058,0,65536,0,0,32768,0,0,25,262144,1048576,0.000576478
GTX-680,matMul_gpu_sharedmem_uncoalesced,512,1536,1058,0,262144,0,0,131072,0,0,25,2097152,8388608,0.004418089
GTX-680,matMul_gpu_sharedmem_uncoalesced,768,1536,1058,0,589824,0,0,294912,0,0,25,7077888,28311552,0.014883
GTX-680,matMul_gpu_sharedmem_uncoalesced,1024,1536,1058,0,1048576,0,0,524288,0,0,25,16777216,67108864,0.035197
GTX-680,matMul_gpu_sharedmem_uncoalesced,1280,1536,1058,0,1638400,0,0,819200,0,0,25,32768000,131072000,0.068849
GTX-680,matMul_gpu_sharedmem_uncoalesced,1536,1536,1058,0,2359296,0,0,1179648,0,0,25,56623104,226492416,0.119669
GTX-680,matMul_gpu_sharedmem_uncoalesced,1792,1536,1058,0,3211264,0,0,1605632,0,0,25,89915392,359661568,0.182744
GTX-680,matMul_gpu_sharedmem_uncoalesced,2048,1536,1058,0,4194304,0,0,2097152,0,0,25,134217728,536870912,0.281214
GTX-680,matMul_gpu_uncoalesced,256,1536,1058,0,65536,0,0,32768,0,0,25,0,8912896,0.002401273
GTX-680,matMul_gpu_uncoalesced,512,1536,1058,0,262144,0,0,131072,0,0,25,0,71303168,0.019098
GTX-680,matMul_gpu_uncoalesced,768,1536,1058,0,589824,0,0,294912,0,0,25,0,240648192,0.064403
GTX-680,matMul_gpu_uncoalesced,1024,1536,1058,0,1048576,0,0,524288,0,0,25,0,570425344,0.151816
GTX-680,matMul_gpu_uncoalesced,1280,1536,1058,0,1638400,0,0,819200,0,0,25,0,1114112000,0.278074
GTX-680,matMul_gpu_uncoalesced,1536,1536,1058,0,2359296,0,0,1179648,0,0,25,0,1925185536,0.486799
GTX-680,matMul_gpu_uncoalesced,1792,1536,1058,0,3211264,0,0,1605632,0,0,25,0,3057123328,0.759096
