2772,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,52149918,52158343,546346,547028,274089,273804,273485,273303,26154938,26018875,26054373,25976918,299860,299785,299953,299985,59371785,59364954,59388219,59392476,33189937,33340871,33442398,33403862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,59373181,59366149,59389590,59393804,299860,299785,299953,299985,1632153087,0,0,1521428832,0,0,0,0,7683984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245025,7683984,1923936300,1980217751,123495511,60334642368,849011625,48514950,0,0,48514950,245025,1629672844,81434468256,9801,60319274400,0,0,0,0,0,0,130697028,660086,169802325,0,82182078,415061,0,0,1018813950,48525530,135453544,665340,0,0
3024,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,69403359,69336912,658331,658093,329186,328525,328349,328490,34770231,34697726,34663599,34702712,357215,357176,357185,357264,77151960,77185008,77164164,77128308,42399029,42414455,42484342,42453630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,77155344,77188211,77167732,77130825,357215,357176,357187,357268,2114058981,0,0,1975228416,0,0,0,0,9144576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291600,9144576,2496970800,2570498756,160091337,78305004288,1102248000,62985600,0,0,62985600,291600,2112162722,105511807114,11664,78286715136,0,0,0,0,0,0,169827840,786240,220449600,0,106842240,494640,0,0,1322697600,63010026,175452272,788679,0,0
3276,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,88249469,88082123,770543,767757,384258,384907,384438,385019,44047032,44238903,44035620,43972147,419002,418863,419005,418804,98044128,98015229,98047404,98000955,53820589,53762114,53815683,53628039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98047603,98018846,98051144,98005276,419002,418863,419005,418805,2686443738,0,0,2511329184,0,0,0,0,10732176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342225,10732176,3173794650,3266164638,203284565,99530200224,1401411375,80080650,0,0,80080650,342225,2684132876,134117353008,13689,99508735872,0,0,0,0,0,0,215601750,921375,280282275,0,135521100,579150,0,0,1681693650,80118445,221754671,929172,0,0
3528,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,113634510,113664545,894511,894248,446248,447145,447378,447279,56631592,56712309,56408662,56728968,486158,486188,486348,486116,122505012,122571918,122491152,122524038,65679099,65720242,65597963,65789549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,122509163,122575942,122495128,122527771,486160,486192,486349,486116,3357323994,0,0,3136589568,0,0,0,0,12446784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396900,12446784,3963046500,4079213001,253622026,124281138240,1750329000,100018800,0,0,100018800,396900,3354508823,167618705880,15876,124256244672,0,0,0,0,0,0,269606232,1069866,350065800,0,169587432,672966,0,0,2100394800,100060900,277496455,1074296,0,0
3780,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,138750199,139122997,1022480,1019825,509856,510665,511424,509834,69132216,67415165,68700593,69086747,557837,557705,557753,557850,150608970,150643665,150585750,150570765,81754216,81917697,81523468,82158259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150613986,150648625,150592625,150577822,557838,557706,557753,557851,4136764431,0,0,3857868000,0,0,0,0,14288400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455625,14288400,4873365000,5017085097,311650426,152828726400,2152828125,123018750,0,0,123018750,455625,4133674291,206554883370,18225,152800149600,0,0,0,0,0,0,331439850,1227555,430565625,0,208421100,771930,0,0,2583393750,123059730,342324544,1236389,0,0
4032,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,174957389,176116266,1168121,1167731,585187,584847,584222,583795,87302770,87443885,87519962,87631286,634881,635228,635200,634851,182888208,182894544,182901168,182882160,95365055,95099493,95370831,95499487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,182895631,182901461,182909503,182889024,634885,635229,635201,634855,5024162580,0,0,4682022912,0,0,0,0,16257024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518400,16257024,5913388800,6094935215,377916527,185443872768,2612736000,149299200,0,0,149299200,518400,5022457612,250977791660,20736,185411358720,0,0,0,0,0,0,402361344,1397088,522547200,0,253062144,878688,0,0,3135283200,149499207,422627573,1401485,0,0
4284,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,206640939,207404480,1315493,1315676,658349,656252,658361,658634,104013663,101859233,102254811,102615732,716341,716577,716613,716465,219207843,219297042,219260475,219229416,115363145,116404988,115521155,115292288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,219216839,219303518,219267418,219236841,716342,716577,716613,716465,6011759943,0,0,5615912736,0,0,0,0,18352656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585225,18352656,7091756550,7307275889,452967035,222397485408,3133879875,179078850,0,0,179078850,585225,6009762108,300317267754,23409,222360780096,0,0,0,0,0,0,482245596,1575966,626775975,0,303166746,990741,0,0,3760655850,179227954,504312995,1595888,0,0
4536,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,241804679,242050626,1471528,1463595,732847,734756,731783,735415,121159639,121543032,122048011,120110026,803652,803699,803846,803693,260366076,260461494,260456310,260340480,140804167,139766388,140405772,140049759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,260375867,260470946,260466302,260349952,803656,803699,803870,803697,7134548634,0,0,6666395904,0,0,0,0,20575296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656100,20575296,8417106900,8669092333,537348818,263960472384,3720087000,212576400,0,0,212576400,656100,7130083439,356332026266,26244,263919321792,0,0,0,0,0,0,573168960,1769040,744017400,0,360592560,1112940,0,0,4464104400,212665718,594775561,1779091,0,0
4788,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,297523535,297520583,1645944,1645898,822879,822337,823130,822500,147951750,147812392,148814431,147550615,895021,894988,895162,895056,306101970,306113598,306104022,306118044,158624236,157485183,156285919,157846323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,306114473,306124189,306114721,306129827,895021,894989,895162,895056,8392914333,0,0,7840330848,0,0,0,0,22924944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731025,22924944,9898078500,10197095899,631608526,310403741760,4375184625,250010550,0,0,250010550,731025,8390861978,419358574022,29241,310357891872,0,0,0,0,0,0,673626114,1969667,875036925,0,423615564,1238642,0,0,5250221550,250128718,700485731,1981781,0,0
5040,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,344279089,343592750,1823107,1822995,910579,911418,911444,910672,171099563,172639827,171165522,172523356,992151,992416,992289,992144,357229800,357198120,357216840,357195240,186435434,183483351,185596381,188345785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,357242293,357210096,357229185,357210965,992156,992416,992289,992145,9788254203,0,0,9144576000,0,0,0,0,25401600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810000,25401600,11543310000,11895898588,736292918,361998201600,5103000000,291600000,0,0,291600000,810000,9785554434,489074746384,32400,361947398400,0,0,0,0,0,0,786088800,2183580,1020600000,0,494488800,1373580,0,0,6123600000,291842448,819856550,2191875,0,0
5292,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,417024071,416084394,2008029,2013516,1007238,1006887,1006956,1006840,208182066,209081384,208265751,208340850,1093663,1093405,1093199,1093571,413377209,413329959,413287056,413316540,205303027,206069497,207193341,205691701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,413392934,413344255,413303873,413332589,1093664,1093405,1093199,1093571,11360685558,0,0,10585989792,0,0,0,0,28005264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,893025,28005264,13361440050,13773481161,851948772,419014759968,5907360375,337563450,0,0,337563450,893025,11357288643,567630329256,35721,418958749440,0,0,0,0,0,0,909170892,2405214,1181472075,0,571607442,1512189,0,0,7088832450,337802640,952842987,2421043,0,0
5544,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,437077779,436480087,2183486,2185283,1091931,1093917,1093042,1093610,218677994,219210887,216452642,219641916,1200434,1200630,1200755,1200671,475528878,475378002,475373844,475505316,253632262,257914199,258280435,256138841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,475547086,475393618,475392949,475522045,1200438,1200632,1200759,1200673,13028589852,0,0,12171430656,0,0,0,0,30735936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980100,30735936,15361107300,15831089105,979122840,481724324928,6792093000,388119600,0,0,388119600,980100,13025233018,651030422824,39204,481662853056,0,0,0,0,0,0,1046119536,2641716,1358418600,0,657999936,1661616,0,0,8150511600,388279161,1090079681,2655172,0,0
5796,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,556137854,559861625,2414311,2413951,1207514,1206981,1204263,1206465,276357860,276252307,273143406,276907065,1311632,1311925,1311622,1311650,543011922,543168621,542992257,543014406,265739944,266730832,267933707,266670723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,543029705,543190497,543011745,543034538,1311632,1311925,1311622,1311651,14905755210,0,0,13907757024,0,0,0,0,33593616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071225,33593616,17550950400,18094606554,1118361762,"<OVERFLOW>",7761025125,443487150,0,0,443487150,1071225,14901333582,744763275992,42849,"<OVERFLOW>",0,0,0,0,0,0,1194972912,2886408,1552205025,0,751485762,1815183,0,0,9313230150,443735493,1255310153,2917321,0,0
6048,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,643793496,642340532,2621523,2620518,1310423,1310685,1310514,1310234,317382906,321770312,321455806,320298484,1428888,1428991,1428909,1428572,617237064,617282640,617303376,617212440,295155342,295082046,297016758,298172968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617259004,617301899,617322093,617235801,1428892,1428992,1428914,1428572,16946059881,0,0,15801827328,0,0,0,0,36578304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166400,36578304,19939608000,20578885848,1270212530,"<OVERFLOW>",8817984000,503884800,0,0,503884800,1166400,16942882731,846834953562,46656,"<OVERFLOW>",0,0,0,0,0,0,1357969536,3143448,1763596800,0,854084736,1977048,0,0,10581580800,504728970,1449319683,3197681,0,0
6300,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,730526168,726409652,2848836,2848130,1424482,1424116,1424583,1424416,363863813,364536334,363089900,364628887,1549707,1549954,1549917,1549622,697482900,697381425,697394700,697380975,334086211,334328913,332932483,333237660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,697510864,697404601,697422688,697407832,1549712,1549958,1549917,1549623,19157311335,0,0,17860500000,0,0,0,0,39690000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1265625,39690000,22535718750,23252810780,1435221668,"<OVERFLOW>",9966796875,569531250,0,0,569531250,1265625,19153436828,957339002448,50625,"<OVERFLOW>",0,0,0,0,0,0,1534084650,3409077,1993359375,0,964553400,2143452,0,0,11960156250,570090540,1631427350,3489330,0,0
6552,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,774729850,772662103,3041833,3043232,1526319,1515802,1521615,1520770,391628535,387449810,389025256,389326513,1676914,1676802,1676844,1677050,784820556,784825938,784743804,784771182,394814544,397991553,396146503,395863749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,784850867,784856813,784773345,784798081,1676914,1676802,1676845,1677050,21531522387,0,0,20090633472,0,0,0,0,42928704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368900,42928704,25347921300,26141517055,1613936018,"<OVERFLOW>",11211291000,640645200,0,0,640645200,1368900,21528594781,1076083974438,54756,"<OVERFLOW>",0,0,0,0,0,0,1727113752,3690414,2242258200,0,1086468552,2321514,0,0,13453549200,640975599,1823434113,3760175,0,0
6804,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,935165140,934557716,3319707,3320985,1660191,1660107,1660385,1657001,469329908,468566575,468805173,466022650,1807603,1807805,1808050,1807493,878486553,878641830,878644503,878469300,409992902,409580266,406246485,409980076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,878516968,878674939,878680199,878501800,1807603,1807806,1808054,1807497,24132229515,0,0,22499086176,0,0,0,0,46294416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476225,46294416,28384854300,29286292978,1806902311,"<OVERFLOW>",12555293625,717445350,0,0,717445350,1476225,24129042805,1206063978718,59049,"<OVERFLOW>",0,0,0,0,0,0,1933206912,3977792,2511058725,0,1215761562,2501567,0,0,15066352350,717895223,2052863918,4071284,0,0
7056,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1037722641,1039248034,3565982,3564487,1779665,1782785,1783651,1779330,516963622,521477829,520327949,519612248,1944796,1944708,1945115,1944621,980151732,980277480,980142156,980165592,462645293,461877522,459486521,460310260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,980186504,980308176,980185676,980209037,1944800,1944713,1945119,1944621,26897688678,0,0,25092716544,0,0,0,0,49787136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1587600,49787136,31655156400,32660413317,2014667288,"<OVERFLOW>",14002632000,800150400,0,0,800150400,1587600,26891648273,1344181678164,63504,"<OVERFLOW>",0,0,0,0,0,0,2156849856,4279464,2800526400,0,1356699456,2691864,0,0,16803158400,801022087,2285753785,4388247,0,0
7308,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1159840322,1161738042,3832643,3832884,1916602,1916812,1916309,1915518,583435645,580279066,581242237,578549574,2085528,2085464,2085487,2085603,1088578017,1088641701,1088702775,1088644311,508731297,508013119,506507695,508082096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1088615560,1088683040,1088742650,1088686034,2085529,2085465,2085491,2085603,29890286082,0,0,27878383008,0,0,0,0,53406864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1703025,53406864,35167466250,36283535946,2237777731,"<OVERFLOW>",15557133375,888979050,0,0,888979050,1703025,29886448911,1493890560368,68121,"<OVERFLOW>",0,0,0,0,0,0,2394725634,4587597,3111426675,0,1505746584,2884572,0,0,18668560050,889639915,2535788135,4722017,0,0
7560,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1218268968,1208304394,4071625,4069884,2035933,2026082,2024878,2037764,607889379,615244692,613516685,609229949,2232408,2232757,2232793,2232292,1205601300,1205610480,1205590230,1205532990,596285354,595153016,595029624,593013012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1205643228,1205656368,1205635295,1205576598,2232409,2232758,2232794,2232292,33088730799,0,0,30862944000,0,0,0,0,57153600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1822500,57153600,38930422500,40162699498,2476780386,"<OVERFLOW>",17222625000,984150000,0,0,984150000,1822500,33084150855,"<OVERFLOW>",72900,"<OVERFLOW>",0,0,0,0,0,0,2652539400,4912110,3444525000,0,1668389400,3089610,0,0,20667150000,984714070,2801068976,5049604,0,0
7812,"GeForce GTX TITAN Black (0)","2","14","matMul(float*, float*, float*, int)",0,0,0,0,0,0,0,0,1351479211,1330287196,4370442,4365791,2185210,2184471,2185077,2184387,674586529,647108767,672718642,676985723,2382949,2383246,2383205,2383193,1329791283,1329865218,1329838155,1329692238,652043213,648712137,662315518,662475428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1329839346,1329909546,1329883974,1329745505,2382953,2383246,2383206,2383193,36496877265,0,0,34053257952,0,0,0,0,61027344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946025,61027344,42952663800,44292512217,2732222013,"<OVERFLOW>",19002934125,1085881950,0,0,1085881950,1946025,36490499215,"<OVERFLOW>",77841,"<OVERFLOW>",0,0,0,0,0,0,2926043190,5243805,3800586825,0,1840161240,3297780,0,0,22803520950,1086311832,3068193520,5386845,0,0
