2816,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",701792256,701792256,701792256,701792256,52734816,39725796,580548,435974,508338,508152,46290236,46285820,697827328,697827328,3964928,3964928,651641672,651644092,3841024,3841024,697979712,498604448,3964929,3964933,0,0,1,4,7793642560,0,0,1395654656,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,29813244286,660161344,698819392,2057797632,65849524224,65833664512,0,0,872284160,43614208,0,0,0,0,0,43614208,247808,0,22302720,7786274193,497910656966,15568441720,7744,4884791296,1352040448,6280445952,1395654656
3072,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",910688256,910688256,910688256,910688256,69397676,52413980,688766,516816,602669,602785,60883180,60878920,905969664,905969664,4718592,3370496,845415136,845413668,4571136,4571136,906169352,906166079,4718597,4718593,0,0,5,0,10107766936,0,0,1811939328,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,294912,38595835442,856425280,907150144,2670723072,85463138304,85444263936,0,0,1132462080,56623104,0,0,0,0,0,56623104,294912,0,28901376,10097178337,645824140952,20195717067,9216,6341787648,1755316224,8153726976,1811939328
3328,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",1157398528,1157398528,1157398528,1157398528,88152888,67141360,805842,604858,705229,705245,77396836,77392512,1151860736,1151860736,5537792,5537792,1073703464,1073706196,5364736,5364736,1152113136,1152109043,5537796,5537794,0,0,4,1,12862500798,0,0,2303721472,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,346112,49179306554,1088176960,1153246016,3394666496,108629327872,108607176704,0,0,1439825920,71991296,0,0,0,0,0,71991296,346112,0,36687872,12852660689,822037436394,25690891561,10816,8063025152,2231730176,10366746624,2303721472
3584,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",1445068800,1445068800,1445068800,1445068800,111697308,84505140,930361,699632,813999,581454,98086491,70167760,1438646272,1438646272,6422528,6422528,1340012616,1340016064,6221824,6221824,1438957256,1438952143,6422532,6422530,0,0,4,1,16044550599,0,0,2877292544,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,401408,61374645125,1358365504,1440252736,4238868480,135643791360,135618101248,0,0,1798307840,89915392,0,0,0,0,0,89915392,401408,0,45760512,16040893358,1026026605956,32108711457,12544,10070523904,2787377152,12947816448,2877292544
3840,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",1776844800,1776844800,1776844800,1776844800,139631828,105629476,1068286,800916,935018,935000,122557692,122551812,1769472000,1769472000,7372800,7372800,1647569092,1647570328,7142400,7142400,1769859016,1769852647,7372801,7372805,0,0,1,4,19756659474,0,0,3538944000,0,0,0,0,14745600,0,0,0,0,0,0,0,0,0,0,460800,75473900048,1669940032,1771316032,5212569600,166802227200,166772736000,0,0,2211840000,110592000,0,0,0,0,0,110592000,460800,0,56217600,19739121346,1262575481370,39465561340,14400,12386304000,3428352000,15925248000,3538944000
4096,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",2155872256,2155872256,2155872256,2155872256,171081840,128842772,1213426,910132,1061881,1061965,150061456,150053848,2147483648,2147483648,8388608,5991936,1998329632,1998329748,8126464,8126464,2147952640,2147944935,8388608,8388614,0,0,0,5,23940155911,0,0,4294967296,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,91535393628,2025849664,2149581632,6325010432,202400333824,202366779392,0,0,2684354560,134217728,0,0,0,0,0,134217728,524288,0,68157440,23931032301,1530799276968,47841314736,16384,15032385536,4160749568,19327352832,4294967296
4352,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",2585296896,2585296896,2585296896,2585296896,208276060,156309029,1368256,1024736,1197253,1197333,182804302,182799284,2575826944,1839886336,9469952,9469952,2394066468,2394075276,9174016,9174016,2576390296,2576381103,9469956,9469954,0,0,0,5,28746876385,0,0,5151653888,0,0,0,0,18939904,0,0,0,0,0,0,0,0,0,0,591872,109984126291,2429043520,2578195264,7585431552,242733809664,242695929856,0,0,3219783680,160989184,0,0,0,0,0,160989184,591872,0,81678336,28733004744,1838078571204,57412507246,18496,18030788608,4990664704,23182442496,5151653888
4608,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",3068264448,3068264448,3068264448,3068264448,249104496,188703580,1531622,1149080,1340314,1340336,218689304,218669564,3057647616,3057647616,10616832,10616832,2839751208,2839767720,10285056,10285056,3058316240,3058305295,10616833,10616837,0,0,5,0,34132811930,0,0,6115295232,0,0,0,0,21233664,0,0,0,0,0,0,0,0,0,0,663552,130503179119,2882470720,3060302656,9003073536,288098353152,288055885824,0,0,3822059520,191102976,0,0,0,0,0,191102976,663552,0,96878592,34117931463,2182539542380,68252004424,20736,21403533312,5924192256,27518828544,6115295232
4864,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",3607920640,3607920640,3607920640,3607920640,296901296,224216604,1704976,1278728,1491974,1492000,260529346,260536456,3596091392,3596091392,11829248,11829248,3337032208,3336997032,11459584,8185488,3596877280,3596864399,11829248,11829254,0,0,0,5,40131721831,0,0,7192182784,0,0,0,0,23658496,0,0,0,0,0,0,0,0,0,0,739328,153474203690,3389080384,3599049536,10587176960,338789662720,338742345728,0,0,4495114240,224755712,0,0,0,0,0,224755712,739328,0,113856512,40117139855,2566516457800,80196013137,23104,25172639744,6967427072,32364822528,7192182784
5120,"GeForce GTX 970 (1)","1","7","matMul(float*, float*, float*, int)",4207411200,4207411200,4207411200,4207411200,347212524,263974304,1887538,1415848,1651749,1651661,304748100,304712048,4194304000,4194304000,13107200,13107200,3890063052,3890055624,12697600,12697600,4195249911,2996908107,13107200,13107206,0,0,4,1,46769037391,0,0,8388608000,0,0,0,0,26214400,0,0,0,0,0,0,0,0,0,0,819200,178833534772,3951821632,4197581632,12346982400,395103436800,395051008000,0,0,5242880000,262144000,0,0,0,0,0,262144000,819200,0,132710400,46754407854,2991082873368,93478343359,25600,29360128000,8126464000,37748736000,8388608000
