2816,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",349904896,349904896,175448064,175448064,90030267,89942292,513793,513646,256898,256895,256924,256902,45015515,45014752,45015564,45015053,87228416,87228416,87228416,87228416,247808,247808,247808,247808,43309288,43309536,43308252,43308624,123074,123102,123098,123108,88331426,88331384,88331400,88331400,247809,247808,247812,247809,0,0,0,0,1,0,0,4,1301141432,0,0,2791309312,0,0,0,0,7929856,0,0,0,0,0,0,0,0,0,0,247808,3359949164,1139917056,698818816,2537553920,81201725440,81185865728,0,0,872284160,87228416,0,0,0,0,0,87228416,247808,0,44109824,1300967465,83207496608,10394581368,30976,0,0,1046740992,87228416
3072,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",454164480,454164480,227672064,227672064,116754367,116839448,607856,609698,303917,303939,303996,303970,58377310,58377057,58377776,58377524,113246208,113246208,113246208,113246208,294912,294912,294912,294912,56199028,56199316,56199804,56199868,146116,146124,146022,146138,114608674,114608624,114608664,114608640,294913,294912,294912,294917,0,0,0,0,1,0,0,4,1688455828,0,0,3623878656,0,0,0,0,9437184,0,0,0,0,0,0,0,0,0,0,294912,4356143572,1479278848,907149568,3293577216,105394470912,105375596544,0,0,1132462080,113246208,0,0,0,0,0,113246208,294912,0,57212928,1688191747,107982800014,13503377925,36864,0,0,1358954496,113246208
3328,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",577314816,577314816,289349632,289349632,148802712,148640117,711340,710396,355682,355658,355886,355852,74401152,74401560,74400932,74401961,143982592,143982592,143982592,143982592,346112,346112,346112,346112,71415872,71413240,71415664,71413812,169262,169298,169428,169358,145799240,145799152,145799184,145799192,346112,346113,346117,346112,0,0,0,0,0,0,1,4,2146498708,0,0,4607442944,0,0,0,0,11075584,0,0,0,0,0,0,0,0,0,0,346112,5541787124,1880080640,1153245440,4186570752,133970264064,133948112896,0,0,1439825920,143982592,0,0,0,0,0,143982592,346112,0,72683520,2146343488,137296077896,17162173028,43264,0,0,1727791104,143982592
3584,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",720928768,720928768,361267200,361267200,185597924,185675456,820928,820794,410472,410456,410424,410412,92800032,92797892,92801184,92801437,179830784,179830784,179830784,179830784,401408,401408,401408,401408,89180476,89182104,89179908,89180932,192278,192226,192278,192338,182036786,182036690,182036760,182036792,401408,401413,401408,401409,0,0,0,0,4,0,0,1,2681476948,0,0,5754585088,0,0,0,0,12845056,0,0,0,0,0,0,0,0,0,0,401408,6947623808,2347434240,1440252160,5227937792,167294009344,167268319232,0,0,1798307840,179830784,0,0,0,0,0,179830784,401408,0,90718208,2681361343,171521693406,21425607174,50176,0,0,2157969408,179830784
3840,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",886579200,886579200,444211200,444211200,228965793,228936449,939680,941094,469816,469864,469832,469822,114481752,114484041,114488288,114488044,221184000,221184000,221184000,221184000,460800,460800,460800,460800,109432600,109436764,109427316,109425420,217940,217634,217798,217720,223909082,223908954,223909032,223909080,460804,460801,460800,460801,0,0,0,0,0,4,0,1,3293492436,0,0,7077888000,0,0,0,0,14745600,0,0,0,0,0,0,0,0,0,0,460800,8519870120,2886451456,1771315456,6429081600,205730611200,205701120000,0,0,2211840000,221184000,0,0,0,0,0,221184000,460800,0,111513600,3293247480,210675995298,26330881159,57600,0,0,2654208000,221184000
4096,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",1075838976,1075838976,538968064,538968064,277883698,278287001,1066732,1068120,533363,533369,533378,533362,138941402,138942296,138941757,138941416,268435456,268435456,268435456,268435456,524288,524288,524288,524288,132831832,132831620,132831684,132832864,239860,239954,239796,239812,271744294,271744096,271744112,271744160,524288,524290,524288,524292,0,0,0,0,0,1,4,0,3993927320,0,0,8589934592,0,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,524288,10333761048,3502244096,2149581056,7801405440,249644974080,249611419648,0,0,2684354560,268435456,0,0,0,0,0,268435456,524288,0,135266304,3993646907,255486925406,31908268736,65536,0,0,3221225472,268435456
4352,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",1290280960,1290280960,646324224,646324224,334888535,334946989,1206600,1203342,603306,603294,603320,603356,167445381,167443154,167447964,167439272,321978368,321978368,321978368,321978368,591872,591872,591872,591872,158124484,158130516,158114192,158116648,268402,268288,268362,268614,326000900,326000752,326000856,326000848,591872,591876,591873,591873,0,0,0,0,4,0,1,0,4797862756,0,0,10303307776,0,0,0,0,18939904,0,0,0,0,0,0,0,0,0,0,591872,12414445864,4199923968,2578194688,9356312576,299402002432,299364122624,0,0,3219783680,321978368,0,0,0,0,0,321978368,591872,0,162172928,4797599315,306894973738,38447222092,73984,0,0,3863740416,321978368
4608,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",1531478016,1531478016,767066112,767066112,398669263,398696784,1345204,1349732,672596,672608,672618,672590,199332387,199336876,199326812,199324744,382205952,382205952,382205952,382205952,663552,663552,663552,663552,187775064,187777120,187782148,187776328,289662,289664,289484,289402,386942274,386942040,386942168,386942192,663556,663552,663552,663554,0,0,0,0,4,0,0,1,5707396532,0,0,12230590464,0,0,0,0,21233664,0,0,0,0,0,0,0,0,0,0,663552,14827941736,4984602880,3060302080,11105206272,355366600704,355324133376,0,0,3822059520,382205952,0,0,0,0,0,382205952,663552,0,192430080,5707020117,365122897660,45583956918,82944,0,0,4586471424,382205952
4864,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",1801003008,1801003008,901980160,901980160,473379729,473545284,1497784,1501366,748914,748870,748940,748922,236688501,236691228,236689200,236682352,449511424,449511424,449511424,449511424,739328,739328,739328,739328,218303292,218290928,218295380,218296500,317738,317494,317490,317906,455091036,455090816,455090928,455090936,739329,739329,739332,739328,0,0,0,0,1,0,0,4,6683391792,0,0,14384365568,0,0,0,0,23658496,0,0,0,0,0,0,0,0,0,0,739328,17367065656,5861392640,3599048960,13059489792,417903673344,417856356352,0,0,4495114240,449511424,0,0,0,0,0,449511424,739328,0,226234368,6683175201,427578935500,53569232490,92416,0,0,5394137088,449511424
5120,"GeForce GTX 750 (0)","2","14","matMul(float*, float*, float*, int)",2100428800,2100428800,1051852800,1051852800,553047192,552488949,1657790,1657708,828889,828901,828748,828768,276536868,276510324,276535112,276511257,524288000,524288000,524288000,524288000,819200,819200,819200,819200,254154836,254173900,254153220,254164788,328820,328586,329444,329666,530840898,530840680,530840808,530840792,819200,819205,819200,819201,0,0,0,0,0,4,0,1,7833557936,0,0,16777216000,0,0,0,0,26214400,0,0,0,0,0,0,0,0,0,0,819200,20258255156,6835405056,4197581056,15230566400,487378124800,487325696000,0,0,5242880000,524288000,0,0,0,0,0,524288000,819200,0,263782400,7833430737,501179118102,62509206986,102400,0,0,6291456000,524288000
