5376,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,5153672620,5276629489,1806337,1806337,451584,903168,903169,903168,1287563351,2637568172,2637419788,2611703112,903168,903168,903168,903168,8378219724,8411101632,8373640004,8382490740,5773718272,5760543240,5724555044,5737549644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8404760732,8368870508,8376249233,8386826639,903168,903169,903170,903168,39002427339,0,0,"<OVERFLOW>",0,0,0,0,28901376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903168,28901376,55863650304,48305430990,12243024818,"<OVERFLOW>",0,0,0,0,9710862336,903168,38997855989,"<OVERFLOW>",112896,"<OVERFLOW>",0,0,0,0,6151834624,8414458880,0,1806336,0,0,4855431168,903168,0,0,0,0,22392590968,1816722,0,0
5632,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,6021409426,5959818944,1982464,1982464,991232,991232,991233,991232,3010767490,2979107729,2974680016,2975378344,991232,991232,991232,991232,9629290824,9590939056,9609787092,9583522428,6630430288,3321701796,6633068340,6590949572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9620514916,9624803519,9598845928,9545853341,991232,991233,991233,991232,44760680288,0,0,"<OVERFLOW>",0,0,0,0,31719424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991232,31719424,64228859904,55439176363,14070754693,"<OVERFLOW>",0,0,0,0,11165237248,991232,44755063430,"<OVERFLOW>",123904,"<OVERFLOW>",0,0,0,0,7170963579,9576892293,0,1982464,0,0,5582618624,991232,0,0,0,0,25670148478,1994813,0,0
5888,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,7262781918,7255135849,2166784,2166785,1083392,1083392,1083392,1083392,3631507474,3626825036,3604309732,3631989741,1083392,1083392,1083392,1083392,11075724052,11103627972,11084268192,11088414504,7518961956,7471007956,7481127712,7457907952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11176971585,11111475391,11112603237,11083831757,1083393,1083392,1083397,1083392,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,34668544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1083392,34668544,73390057472,63541192272,16083601624,"<OVERFLOW>",0,0,0,0,12758024192,1083392,"<OVERFLOW>","<OVERFLOW>",135424,"<OVERFLOW>",0,0,0,0,8019181475,11117854813,0,2166784,0,0,6379012096,1083392,0,0,0,0,29396316571,2178119,0,0
6144,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,8104772827,8102928276,2359297,2359296,1179649,1179648,1179648,1179648,4052700070,4053748323,4061819305,4028383620,1179648,1179648,1179648,1179648,12810257880,12828300920,12851727136,12792464360,8793013820,8816102168,8803244332,8782489096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12887539455,12887715956,12845662156,12829788231,1179652,1179648,1179652,1179650,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,37748736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179648,37748736,83383418880,72508320261,18272819205,"<OVERFLOW>",0,0,0,0,14495514624,1179648,"<OVERFLOW>","<OVERFLOW>",147456,"<OVERFLOW>",0,0,0,0,8878116655,12865155281,0,2359296,0,0,7247757312,1179648,0,0,0,0,33806823016,2381482,0,0
6400,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,9664288122,9671973604,2560000,2560000,1280000,1280001,1280000,1280000,4832732402,4834843096,4835111721,4839713472,1280000,1280000,1280000,640000,14316295176,14310797524,14321567848,14288696292,9475822704,9439204324,9443196356,9448086628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,14321886968,14324529703,14298580533,14301960212,1280002,1280005,1280001,1280005,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,40960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280000,40960000,94245120000,81584650354,20649836623,"<OVERFLOW>",0,0,0,0,16384000000,1280000,"<OVERFLOW>","<OVERFLOW>",160000,"<OVERFLOW>",0,0,0,0,10318121390,14257878610,0,2560000,0,0,8192000000,1280000,0,0,0,0,37672961598,2569612,0,0
6656,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,10573045150,10587149217,2768896,2768897,1384448,1384448,1384449,1384448,5286489818,5292515040,5292625220,5298097568,1384448,1384448,1384448,1384448,16164665224,16219661656,8064215432,16165956984,10936557096,10918295512,10904342132,10874560652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16261323197,16196413025,16202122765,16138298163,1384450,1384448,1384453,1384448,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,44302336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384448,44302336,106011336704,92202981663,23221022587,"<OVERFLOW>",0,0,0,0,18429771776,1384448,"<OVERFLOW>","<OVERFLOW>",173056,"<OVERFLOW>",0,0,0,0,11429135993,16215521671,0,2768896,0,0,9214885888,1384448,0,0,0,0,42911647876,2790745,0,0
6912,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,12406352480,12437563649,2985984,2985985,1492992,1492992,1492993,1492992,6203589726,6217809080,6211650976,6218870269,1492992,1492992,746496,1492992,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",11933093744,11844475236,11885313480,11833950240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",1492994,1492992,1492996,1492993,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,47775744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492992,47775744,118718244864,102899383442,26007035723,"<OVERFLOW>",0,0,0,0,20639121408,1492992,"<OVERFLOW>","<OVERFLOW>",186624,"<OVERFLOW>",0,0,0,0,12873161406,18085520706,0,2985984,0,0,10319560704,1492992,0,0,0,0,47527808657,2997802,0,0
7168,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,13277487182,13346633401,3211264,3211265,1605632,1605632,1605633,1605632,6637643406,6672720804,6678157840,6636818316,1605632,1605632,1605632,1605632,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",13745527116,13678730508,13647761172,13633909100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",1605633,1605636,1605636,1605637,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,51380224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605632,51380224,132402020352,115223344415,28991002509,"<OVERFLOW>",0,0,0,0,23018340352,1605632,"<OVERFLOW>","<OVERFLOW>",200704,"<OVERFLOW>",0,0,0,0,14153111751,20374398777,0,3211264,0,0,11509170176,1605632,0,0,0,0,"<OVERFLOW>",3235578,0,0
7424,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,15175024203,15258531316,3444737,3444736,1722369,1722368,1722369,1722368,7587182262,7628391973,7602387928,7618472325,861184,1722368,1722368,1722368,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",14553670428,14573513608,14531280148,14488848184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",1722368,1722368,1722372,1722368,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,55115776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722368,55115776,147098839040,127289290157,32201677613,"<OVERFLOW>",0,0,0,0,25573720064,1722368,"<OVERFLOW>","<OVERFLOW>",215296,"<OVERFLOW>",0,0,0,0,16220571715,22140008381,0,3444736,0,0,12786860032,1722368,0,0,0,0,"<OVERFLOW>",3458278,0,0
7680,"Quadro K5200 (1)","2","14","matMul(float*, float*, float*, int, int)",0,0,0,0,0,0,0,0,16827104627,16856504813,3686401,3686401,1843201,1843200,921600,1843200,8414245738,8428266896,4164027057,8433430176,1843200,1843200,1843200,1843200,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",16607845608,16551752676,16565169548,16532617436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<OVERFLOW>","<OVERFLOW>","<OVERFLOW>","<OVERFLOW>",1843200,1843201,1843202,1843205,"<OVERFLOW>",0,0,"<OVERFLOW>",0,0,0,0,58982400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1843200,58982400,162844876800,141589245994,35652475198,"<OVERFLOW>",0,0,0,0,28311552000,1843200,"<OVERFLOW>","<OVERFLOW>",230400,"<OVERFLOW>",0,0,0,0,17548582015,24918745985,0,3686400,0,0,14155776000,1843200,0,0,0,0,"<OVERFLOW>",3709586,0,0
