gpu_id,l1_cache_used,max_clock_rate,num_of_cores,threads_launched,Instructions.Executed,Instructions.Issued,Executed.IPC,Achieved.Occupancy,Global.Hit.Rate,Shared.Load.Transactions,Shared.Store.Transactions,Global.Load.Transactions,Global.Store.Transactions,Duration
7,0,1110,512,21233664,21897216,21898387,0.316486,0.836672,50,0,0,42467328,21233664,0.016479
7,0,1110,512,18939904,19531776,19532933,0.319374,0.835626,50,0,0,37879808,18939904,0.014619
7,0,1110,512,16777216,17301504,17302666,0.236668,0.802882,0,0,0,33554432,16777216,0.017269
7,0,1110,512,14745600,15206400,15207553,0.321253,0.835059,50,0,0,29491200,14745600,0.011308
7,0,1110,512,28901376,29804544,29805695,0.49724,0.841277,50,0,0,28901376,14450688,0.013425
7,0,1110,512,26214400,27033600,27034763,0.517709,0.841046,50,0,0,26214400,13107200,0.011716
7,0,1110,512,23658496,24397824,24398927,0.510629,0.842618,50,0,0,23658496,11829248,0.010718
7,0,1110,512,21233664,21897216,21898291,0.502886,0.838712,50,0,0,21233664,10616832,0.009580951
7,0,1110,512,18939904,19531776,19532942,0.560625,0.787306,50,0,0,18939904,9469952,0.007858573
7,0,1110,512,16777216,17301504,17302657,0.526755,0.764571,50,0,0,16777216,8388608,0.007221072
7,0,1110,512,14745600,15206400,15207478,0.583426,0.839313,50,0,0,14745600,7372800,0.00597653
7,0,1110,512,12845056,13246464,13247623,0.510762,0.844311,50,0,0,12845056,6422528,0.005668595
7,0,1110,512,11075584,11421696,11422780,0.519455,0.853428,50,0,0,11075584,5537792,0.004887429
7,0,1110,512,31719424,32710656,32711823,0.481477,0.838728,50,0,0,31719424,15859712,0.0152
7,0,1110,512,9437184,9732096,9733274,0.526348,0.845054,50,0,0,9437184,4718592,0.004093432
7,0,1110,512,5308416,5474304,5475387,0.571853,0.838427,50,0,0,5308416,2654208,0.002305874
7,0,1110,512,4194304,4325376,4326554,0.595811,0.855143,50,0,0,4194304,2097152,0.001763692
7,0,1110,512,3211264,3311616,3312775,0.572557,0.833143,50,0,0,3211264,1605632,0.001398609
7,0,1110,512,2359296,2433024,2434184,0.57156,0.848041,50,0,0,2359296,1179648,0.001025784
7,0,1110,512,1638400,1689600,1690768,0.624974,0.804923,50,0,0,1638400,819200,0.000653342
7,0,1110,512,1048576,1081344,1082505,0.61201,0.822578,50,0,0,1048576,524288,0.000428437
7,0,1110,512,589824,608256,609413,0.628072,0.853224,50,0,0,589824,294912,0.000231785
7,0,1110,512,262144,270336,271414,0.645221,0.87991,50,0,0,262144,131072,0.000100246
7,0,1110,512,16777216,17301504,17302679,0.326929,0.836194,50,0,0,33554432,16777216,0.012636
7,0,1110,512,7929856,8177664,8178817,0.520864,0.841776,50,0,0,7929856,3964928,0.003477177
7,0,1110,512,34668544,35751936,35753023,0.437718,0.836808,50,0,0,34668544,17334272,0.017727
7,0,1110,512,6553600,6758400,6759487,0.497459,0.848565,50,0,0,6553600,3276800,0.002920467
7,0,1110,512,40960000,42240000,42241095,0.424724,0.835973,50,0,0,40960000,20480000,0.021911
