"","gpu_name","gpu_id","AppName","AppId","Input.Size","Duration","max_clock_rate","num_of_cores","Achieved.Occupancy","Executed.Load.Store.Instructions","Shared.Load.Transactions","Shared.Store.Transactions","Global.Load.Transactions","Global.Store.Transactions","Global.Load.Transactions.Per.Request","Global.Store.Transactions.Per.Request","Unified.Cache.Throughput","Floating.Point.Operations.Single.Precision.","Instructions.Issued","warps_launched","Block.X"
"106","GTX-750",7,"matMul_gpu_sharedmem",4,2560,0.209594,1110,512,0.999202,852992000,786432000,65536000,524288000,819200,8,4,37.303199,33554432000,1907098368,204800,16
"107","GTX-750",7,"matMul_gpu_sharedmem",4,2816,0.278304,1110,512,0.999438,1135208448,1046740992,87228416,697827328,991232,8,4,37.395369,44660948992,2537554688,247808,16
"108","GTX-750",7,"matMul_gpu_sharedmem",4,3072,0.361769,1110,512,0.999515,1473675264,1358954496,113246208,905969664,1179648,8,4,37.393781,57982058496,3293577984,294912,16
"109","GTX-750",7,"matMul_gpu_sharedmem",4,3328,0.459535,1110,512,0.999446,1873504256,1727791104,143982592,1151860736,1384448,8,4,37.399737,73719087104,4186571520,346112,16
"110","GTX-750",7,"matMul_gpu_sharedmem",4,3584,0.573788,1110,512,0.99951,2339807232,2157969408,179830784,1438646272,1605632,8,4,37.364287,92073361408,5227938560,401408,16
"111","GTX-750",7,"matMul_gpu_sharedmem",4,3840,0.706704,1110,512,0.999548,2877696000,2654208000,221184000,1769472000,1843200,8,4,37.381539,113246208000,6429083136,460800,16
"112","GTX-750",7,"matMul_gpu_sharedmem",4,4096,0.856341,1110,512,0.999597,3492282368,3221225472,268435456,2147483648,2097152,8,4,37.408057,137438953472,7801406976,524288,16
"113","GTX-750",7,"matMul_gpu_sharedmem",4,4352,1.029409,1110,512,0.999627,4188678144,3863740416,321978368,2575826944,2367488,8,4,37.345216,164852924416,9356313344,591872,16
"114","GTX-750",7,"matMul_gpu_sharedmem",4,4608,1.220967,1110,512,0.999556,4971995136,4586471424,382205952,3057647616,2654208,8,4,37.30102,195689447424,11105207040,663552,16
"115","GTX-750",7,"matMul_gpu_sharedmem",4,4864,1.435606,1110,512,0.9996,5847345152,5394137088,449511424,3596091392,2957312,8,4,37.30457,230149849088,13059490560,739328,16
"116","GTX-750",7,"matMul_gpu_sharedmem",4,5120,1.679188,1110,512,0.999696,6819840000,6291456000,524288000,4194304000,3276800,8,4,37.285737,268435456000,15230567168,819200,16
"117","GTX-750",7,"matMul_gpu_sharedmem",4,5376,1.937431,1110,512,0.999697,7894591488,7283146752,606928896,4855431168,3612672,8,4,37.288824,310747594752,17629840128,903168,16
"118","GTX-750",7,"matMul_gpu_sharedmem",4,5632,2.228291,1110,512,0.999656,9076711424,8373927936,697827328,5582618624,3964928,8,4,37.268783,357287591936,20268713472,991232,16
"119","GTX-750",7,"matMul_gpu_sharedmem",4,5888,2.540546,1110,512,0.999684,10371311616,9568518144,797376512,6379012096,4333568,8,4,37.308067,408256774144,23158588160,1083392,16
"120","GTX-750",7,"matMul_gpu_sharedmem",4,6144,2.902903,1110,512,0.999743,11783503872,10871635968,905969664,7247757312,4718592,8,4,37.285107,463856467968,26310870528,1179648,16
"121","GTX-750",7,"matMul_gpu_sharedmem",4,6400,3.277951,1110,512,0.999711,13318400000,1.2288e+10,1.024e+09,8.192e+09,5120000,8,4,37.263418,5.24288e+11,29736961536,1280000,16
"122","GTX-750",7,"matMul_gpu_sharedmem",4,6656,3.678759,1110,512,0.999768,14981111808,13822328832,1151860736,9214885888,5537792,8,4,37.281173,589752696832,33448265216,1384448,16
"123","GTX-750",7,"matMul_gpu_sharedmem",4,6912,4.132913,1110,512,0.999739,16776751104,15479341056,1289945088,10319560704,5971968,8,4,37.253225,660451885056,37456184832,1492992,16
"124","GTX-750",7,"matMul_gpu_sharedmem",4,7168,4.615318,1110,512,0.999721,18710429696,17263755264,1438646272,11509170176,6422528,8,4,37.241782,736586891264,41772122880,1605632,16
"125","GTX-750",7,"matMul_gpu_sharedmem",4,7424,5.122971,1110,512,0.999769,20787259392,19180290048,1598357504,12786860032,6889472,8,4,37.233303,818359042048,46407484928,1722368,16
"126","GTX-750",7,"matMul_gpu_sharedmem",4,7680,5.670754,1110,512,0.999776,23012352000,21233664000,1769472000,14155776000,7372800,8,4,37.000389,905969664000,51373671168,1843200,16
"127","GTX-750",7,"matMul_gpu_sharedmem",4,7936,6.253914,1110,512,0.999817,25390819328,23428595712,1952382976,15619063808,7872512,8,4,37.236947,999620083712,56682087936,1968128,16
"128","GTX-750",7,"matMul_gpu_sharedmem",4,8192,6.873858,1110,512,0.999796,27927773184,25769803776,2147483648,17179869184,8388608,8,4,37.235317,1099511627776,62344136192,2097152,16
"129","GTX-750",7,"matrix_sum_normal",5,256,4.6715e-05,1110,512,0.798878,14336,0,0,131072,65536,32,32,11.13831,65536,68746,2048,16
