"","Gpus","Apps","InputSize","ThreadBlock","Measured","Predicted","accuracy","Min","max","Mean","Median","SD","mse","mae","mape"
"643","Tesla-K20","matMul_gpu_sharedmem",7936,256,4.93247,2.90876319868011,0.589717362433043,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"644","Tesla-K20","matMul_gpu_sharedmem",8192,256,5.425151,3.15176049007637,0.58095350527135,0.58095350527135,857.791191757326,30.8048442960548,0.873764796583475,151.383391166735,0.683721382913679,0.51570918098832,1.2655323453125
"871","TitanBlack","matMul_gpu_sharedmem",256,256,0.000110465,-1.02746976959813,-9301.3150735358,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"872","TitanBlack","matMul_gpu_sharedmem",512,256,0.000812298,-1.10749954334648,-1363.41532706775,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"873","TitanBlack","matMul_gpu_sharedmem",768,256,0.002773955,-1.11533741234606,-402.074803789556,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"874","TitanBlack","matMul_gpu_sharedmem",1024,256,0.00652005,-1.11039679158183,-170.304950358024,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"875","TitanBlack","matMul_gpu_sharedmem",1280,256,0.012706,-1.09847315929947,-86.4531055642588,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"876","TitanBlack","matMul_gpu_sharedmem",1536,256,0.021951,-1.08163568461528,-49.2750072714357,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"877","TitanBlack","matMul_gpu_sharedmem",1792,256,0.034752,-1.059164045284,-30.4777867542587,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"878","TitanBlack","matMul_gpu_sharedmem",2048,256,0.051869,-1.03202977269027,-19.8968511575367,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"879","TitanBlack","matMul_gpu_sharedmem",2304,256,0.07397,-0.9995440499872,-13.51283020126,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"880","TitanBlack","matMul_gpu_sharedmem",2560,256,0.101282,-0.96148051532352,-9.49310356552516,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"881","TitanBlack","matMul_gpu_sharedmem",2816,256,0.133007,-0.917450702537937,-6.89776254285817,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"882","TitanBlack","matMul_gpu_sharedmem",3072,256,0.174948,-0.867124664534067,-4.95647086296538,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"883","TitanBlack","matMul_gpu_sharedmem",3328,256,0.217713,-0.810041483069685,-3.7206849525278,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"884","TitanBlack","matMul_gpu_sharedmem",3584,256,0.263154,-0.745911133231958,-2.83450425694444,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"885","TitanBlack","matMul_gpu_sharedmem",3840,256,0.332205,-0.674442234011147,-2.03019892539591,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"886","TitanBlack","matMul_gpu_sharedmem",4096,256,0.388601,-0.595261853767197,-1.5318073133296,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"887","TitanBlack","matMul_gpu_sharedmem",4352,256,0.450015,-0.508029060173684,-1.12891583652475,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"888","TitanBlack","matMul_gpu_sharedmem",4608,256,0.54331,-0.412372156268776,-0.758999753858342,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"889","TitanBlack","matMul_gpu_sharedmem",4864,256,0.612098,-0.307946960119515,-0.503100745500746,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"890","TitanBlack","matMul_gpu_sharedmem",5120,256,0.722496,-0.194141072953346,-0.268708855070956,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"891","TitanBlack","matMul_gpu_sharedmem",5376,256,0.821921,-0.0709500477981299,-0.0863222229364257,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"892","TitanBlack","matMul_gpu_sharedmem",5632,256,0.956642,0.0621802324414246,0.0649984345673979,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"893","TitanBlack","matMul_gpu_sharedmem",5888,256,1.083207,0.205432456924258,0.189652076587631,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
"894","TitanBlack","matMul_gpu_sharedmem",6144,256,1.237366,0.359313311557526,0.29038563493544,-9301.3150735358,0.705533215473903,-358.307677235451,-1.33036157492717,1650.68251748598,0.952408712936428,0.970565576060811,0.779648726
